label,changed_count,old_prevalence,new_prevalence,delta_prevalence
Colère,67,0.44430217669654287,0.3713188220230474,-0.07298335467349548
Autre,37,0.07810499359795134,0.0793854033290653,0.0012804097311139573
Dégoût,14,0.10755441741357234,0.10243277848911651,-0.005121638924455829
Joie,13,0.034571062740076826,0.03841229193341869,0.003841229193341865
Tristesse,4,0.01792573623559539,0.01792573623559539,0.0
Peur,3,0.008962868117797696,0.005121638924455826,-0.00384122919334187
Admiration,1,0.0012804097311139564,0.0,-0.0012804097311139564
Surprise,1,0.005121638924455826,0.006402048655569782,0.0012804097311139564
Fierté,1,0.005121638924455826,0.0038412291933418692,-0.0012804097311139564
Embarras,1,0.0012804097311139564,0.002560819462227913,0.0012804097311139564
Culpabilité,0,0.0038412291933418692,0.0038412291933418692,0.0
Jalousie,0,0.0076824583866837385,0.0076824583866837385,0.0
