label,brier_score,reliability,resolution,uncertainty,ece,n_samples,prevalence
Colère,0.327146,0.104007,0.010298,0.233441,0.317328,781,0.3713
Dégoût,0.100924,0.009998,0.0,0.09194,0.099991,781,0.1024
Joie,0.034464,0.005309,0.007797,0.036937,0.033164,781,0.0384
Peur,0.00878,0.004489,0.000834,0.005095,0.007985,781,0.0051
Surprise,0.007458,0.002326,0.001254,0.006361,0.007193,781,0.0064
Tristesse,0.034482,0.017403,0.000289,0.017604,0.037062,781,0.0179
Admiration,5.3e-05,1.4e-05,0.0,0.0,0.000936,781,0.0
Culpabilité,0.003836,8e-06,0.0,0.003826,0.002914,781,0.0038
Embarras,0.016861,0.014898,0.00057,0.002554,0.024201,781,0.0026
Fierté,0.001901,0.00187,0.003826,0.003826,0.004,781,0.0038
Jalousie,0.007681,5.7e-05,0.0,0.007623,0.007556,781,0.0077
Autre,0.159683,0.087456,0.000863,0.073083,0.165291,781,0.0794
Comportementale,0.044384,0.007961,0.007226,0.04397,0.041697,781,0.0461
Désignée,0.071238,0.017958,0.011623,0.065463,0.069713,781,0.0704
Montrée,0.34364,0.114585,0.007832,0.236868,0.334542,781,0.3854
Suggérée,0.069152,0.008984,0.003808,0.064361,0.066559,781,0.0691
