,_profile_key,n,mean_error,median_error,std_error,active_labels,density
15,0|0|0|0|0|1|0|0|0|0|0|1|0|1|0|1,1,0.25,0.25,,"['Tristesse', 'Autre', 'Désignée', 'Suggérée']",4
30,0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1,1,0.25,0.25,,"['Dégoût', 'Autre', 'Suggérée']",3
61,1|1|0|0|0|0|0|0|0|0|0|1|0|0|1|1,1,0.25,0.25,,"['Colère', 'Dégoût', 'Autre', 'Montrée', 'Suggérée']",5
58,1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0,1,0.25,0.25,,"['Colère', 'Dégoût', 'Comportementale']",3
49,1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0,1,0.25,0.25,,"['Colère', 'Surprise', 'Montrée']",3
43,1|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1,1,0.25,0.25,,"['Colère', 'Autre', 'Montrée', 'Suggérée']",4
34,0|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1,1,0.25,0.25,,"['Dégoût', 'Joie', 'Montrée', 'Suggérée']",4
35,0|1|1|0|0|0|0|0|0|0|0|1|0|0|1|0,1,0.25,0.25,,"['Dégoût', 'Joie', 'Autre', 'Montrée']",4
62,1|1|0|0|0|0|0|0|0|0|0|1|1|0|1|1,1,0.25,0.25,,"['Colère', 'Dégoût', 'Autre', 'Comportementale', 'Montrée', 'Suggérée']",6
60,1|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0,6,0.2222222222222222,0.25,0.04303314829119353,"['Colère', 'Dégoût', 'Autre', 'Montrée']",4
28,0|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0,4,0.1875,0.16666666666666666,0.04166666666666667,"['Dégoût', 'Désignée', 'Montrée']",3
5,0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0,6,0.16666666666666666,0.16666666666666666,0.07453559924999299,"['Jalousie', 'Désignée']",2
10,0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0,1,0.16666666666666666,0.16666666666666666,,"['Culpabilité', 'Comportementale']",2
16,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1,1,0.16666666666666666,0.16666666666666666,,"['Surprise', 'Suggérée']",2
11,0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1,1,0.16666666666666666,0.16666666666666666,,"['Tristesse', 'Suggérée']",2
14,0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|1,1,0.16666666666666666,0.16666666666666666,,"['Tristesse', 'Autre', 'Suggérée']",3
32,0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|1,1,0.16666666666666666,0.16666666666666666,,"['Dégoût', 'Autre', 'Montrée', 'Suggérée']",4
44,1|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0,2,0.16666666666666666,0.16666666666666666,0.0,"['Colère', 'Autre', 'Comportementale']",3
47,1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Tristesse', 'Suggérée']",3
39,1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Désignée']",2
33,0|1|0|0|0|0|0|0|0|0|0|1|1|0|0|0,1,0.16666666666666666,0.16666666666666666,,"['Dégoût', 'Autre', 'Comportementale']",3
50,1|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Peur', 'Tristesse', 'Montrée']",4
51,1|0|0|1|0|1|0|0|0|0|0|0|1|0|1|0,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Peur', 'Tristesse', 'Comportementale', 'Montrée']",5
53,1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0,2,0.16666666666666666,0.16666666666666666,0.11785113019775792,"['Colère', 'Joie', 'Désignée', 'Montrée']",4
17,0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0,1,0.16666666666666666,0.16666666666666666,,"['Surprise', 'Montrée']",2
29,0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0,1,0.16666666666666666,0.16666666666666666,,"['Dégoût', 'Comportementale']",2
25,0|0|1|0|0|0|0|0|0|0|0|1|0|0|1|0,1,0.16666666666666666,0.16666666666666666,,"['Joie', 'Autre', 'Montrée']",3
63,1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Dégoût', 'Joie', 'Montrée', 'Suggérée']",5
54,1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Dégoût', 'Suggérée']",3
42,1|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0,16,0.16145833333333331,0.16666666666666666,0.047810873550162516,"['Colère', 'Autre', 'Montrée']",3
55,1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0,25,0.15333333333333332,0.16666666666666666,0.046147910349544866,"['Colère', 'Dégoût', 'Montrée']",3
27,0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0,6,0.15277777777777776,0.16666666666666666,0.06273105439242341,"['Dégoût', 'Désignée']",2
31,0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0,4,0.14583333333333331,0.16666666666666666,0.04166666666666666,"['Dégoût', 'Autre', 'Montrée']",3
59,1|1|0|0|0|0|0|0|0|0|0|0|1|0|1|0,3,0.13888888888888887,0.16666666666666666,0.0481125224324688,"['Colère', 'Dégoût', 'Comportementale', 'Montrée']",4
56,1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1,3,0.13888888888888887,0.16666666666666666,0.048112522432468816,"['Colère', 'Dégoût', 'Montrée', 'Suggérée']",4
45,1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0,2,0.125,0.125,0.05892556509887895,"['Colère', 'Autre', 'Comportementale', 'Montrée']",4
52,1|0|1|0|0|0|0|0|0|0|0|0|0|1|0|1,2,0.125,0.125,0.05892556509887896,"['Colère', 'Joie', 'Désignée', 'Suggérée']",4
48,1|0|0|0|0|1|0|0|0|0|0|0|0|0|1|1,3,0.1111111111111111,0.08333333333333333,0.048112522432468816,"['Colère', 'Tristesse', 'Montrée', 'Suggérée']",4
26,0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0,17,0.10784313725490195,0.08333333333333333,0.03913901819282184,"['Dégoût', 'Montrée']",2
22,0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0,8,0.10416666666666666,0.08333333333333333,0.03857583749052298,"['Joie', 'Montrée']",2
38,1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1,8,0.10416666666666666,0.08333333333333333,0.08625819491779428,"['Colère', 'Montrée', 'Suggérée']",3
2,0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0,13,0.10256410256410256,0.08333333333333333,0.03654408413779288,"['Autre', 'Montrée']",2
36,1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1,18,0.09259259259259259,0.08333333333333333,0.048581924010844796,"['Colère', 'Suggérée']",2
