,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,Autre
Colère,0.3457,0.0512,0.0115,0.0038,0.0038,0.0141,0.0,0.0,0.0038,0.0026,0.0038,0.0819
Dégoût,0.0512,0.1024,0.0038,0.0,0.0,0.0038,0.0,0.0,0.0051,0.0013,0.0,0.0243
Joie,0.0115,0.0038,0.0359,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0077
Peur,0.0038,0.0,0.0,0.009,0.0013,0.0026,0.0,0.0,0.0,0.0,0.0,0.0013
Surprise,0.0038,0.0,0.0,0.0013,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0038
Tristesse,0.0141,0.0038,0.0,0.0026,0.0,0.0384,0.0,0.0013,0.0038,0.0,0.0,0.0064
Admiration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Culpabilité,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0038,0.0,0.0,0.0,0.0
Embarras,0.0038,0.0051,0.0013,0.0,0.0,0.0038,0.0,0.0,0.0243,0.0,0.0,0.0026
Fierté,0.0026,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0
Jalousie,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0038
Autre,0.0819,0.0243,0.0077,0.0013,0.0038,0.0064,0.0,0.0,0.0026,0.0,0.0038,0.178
