emotion,mode,n_both,observed_error,expected_error,interaction_effect,err_e,err_m,global_err,type
Autre,Désignée,7,0.0952,0.1879,-0.0927,0.1478,0.103,0.063,synergy
Tristesse,Désignée,6,0.1111,0.171,-0.0599,0.131,0.103,0.063,synergy
Joie,Désignée,16,0.0885,0.1429,-0.0543,0.1028,0.103,0.063,synergy
Dégoût,Montrée,69,0.1534,0.2038,-0.0504,0.1562,0.1105,0.063,synergy
Colère,Montrée,250,0.1077,0.155,-0.0473,0.1075,0.1105,0.063,synergy
Colère,Suggérée,40,0.1188,0.1649,-0.0461,0.1075,0.1204,0.063,synergy
Tristesse,Montrée,5,0.1333,0.1785,-0.0451,0.131,0.1105,0.063,synergy
Colère,Comportementale,31,0.1129,0.1579,-0.045,0.1075,0.1134,0.063,synergy
Autre,Comportementale,7,0.1548,0.1983,-0.0436,0.1478,0.1134,0.063,synergy
Tristesse,Suggérée,8,0.1458,0.1884,-0.0425,0.131,0.1204,0.063,synergy
Jalousie,Désignée,6,0.1667,0.2067,-0.0401,0.1667,0.103,0.063,synergy
Autre,Montrée,47,0.1578,0.1954,-0.0376,0.1478,0.1105,0.063,synergy
Dégoût,Désignée,11,0.1591,0.1963,-0.0372,0.1562,0.103,0.063,synergy
Autre,Suggérée,10,0.175,0.2053,-0.0303,0.1478,0.1204,0.063,synergy
Dégoût,Comportementale,7,0.1786,0.2067,-0.0282,0.1562,0.1134,0.063,synergy
Joie,Suggérée,5,0.1333,0.1602,-0.0269,0.1028,0.1204,0.063,synergy
Dégoût,Suggérée,10,0.1917,0.2137,-0.022,0.1562,0.1204,0.063,synergy
Colère,Désignée,7,0.131,0.1475,-0.0166,0.1075,0.103,0.063,synergy
Joie,Montrée,14,0.1429,0.1503,-0.0074,0.1028,0.1105,0.063,synergy
