,Comportementale,Désignée,Montrée,Suggérée
Colère,-0.045040486040854213,-0.016595707999301962,-0.04731623553378303,-0.04613815629175025
Dégoût,-0.02815101890806118,-0.037235915492957794,-0.050379995320556314,-0.022000225257267525
Joie,,-0.05431293569497794,-0.007432272753268521,-0.026861336368378647
Peur,,,,
Surprise,,,,
Tristesse,,-0.05991809442513667,-0.045130685451681224,-0.04253593954298185
Admiration,,,,
Culpabilité,,,,
Embarras,,,,
Fierté,,,,
Jalousie,,-0.04007682458386683,,
Autre,-0.04356000508317634,-0.09268819171136294,-0.03755968175850863,-0.030266354289525566
