label,FP_rate,FN_rate,accuracy,prevalence,n_FP,n_FN
Colère,0.0627,0.283,0.6543,0.3713,49,221
Dégoût,0.0,0.1024,0.8976,0.1024,0,80
Joie,0.0102,0.0256,0.9641,0.0384,8,20
Peur,0.0064,0.0026,0.991,0.0051,5,2
Surprise,0.0038,0.0038,0.9923,0.0064,3,3
Tristesse,0.023,0.0154,0.9616,0.0179,18,12
Admiration,0.0,0.0,1.0,0.0,0,0
Culpabilité,0.0,0.0038,0.9962,0.0038,0,3
Embarras,0.0243,0.0,0.9757,0.0026,19,0
Fierté,0.0026,0.0,0.9974,0.0038,2,0
Jalousie,0.0,0.0077,0.9923,0.0077,0,6
Autre,0.1088,0.0691,0.822,0.0794,85,54
