label,brier_score,reliability,resolution,uncertainty,ece,n_samples,prevalence
Colère,0.372564,0.138947,0.013765,0.246898,0.367105,781,0.4443
Dégoût,0.106075,0.011049,0.0,0.095986,0.105113,781,0.1076
Joie,0.037872,0.008842,0.004236,0.033376,0.036734,781,0.0346
Peur,0.007502,0.001973,0.003349,0.008883,0.006704,781,0.009
Surprise,0.008715,0.003911,0.000309,0.005095,0.008473,781,0.0051
Tristesse,0.034463,0.017403,0.000289,0.017604,0.037062,781,0.0179
Admiration,0.001334,1.3e-05,0.0,0.001279,0.000602,781,0.0013
Culpabilité,0.003836,8e-06,0.0,0.003826,0.002914,781,0.0038
Embarras,0.017989,0.016997,0.000318,0.001279,0.025482,781,0.0013
Fierté,0.003182,0.00187,0.003817,0.005095,0.003525,781,0.0051
Jalousie,0.007681,5.7e-05,0.0,0.007623,0.007556,781,0.0077
Autre,0.15676,0.085399,0.000588,0.072005,0.164011,781,0.0781
Comportementale,0.099337,0.015171,0.009462,0.09397,0.098478,781,0.105
Désignée,0.074364,0.01975,0.009166,0.064361,0.072804,781,0.0691
Montrée,0.34917,0.119948,0.011064,0.240406,0.343505,781,0.402
Suggérée,0.084809,0.012127,0.003153,0.0763,0.082756,781,0.0832
