,Comportementale,Désignée,Montrée,Suggérée
Colère,0.03026038001407466,-0.08473635522664202,0.032318949832510546,-0.0070838252656434675
Dégoût,-0.27586206896551724,0.11739130434782608,0.114688412362831,0.05785123966942146
Joie,-0.27586206896551724,0.47453416149068317,0.19087888855330715,0.11845730027548207
Peur,0.3908045977011494,0.4173913043478261,0.11945031712473575,0.035123966942148754
Surprise,,,,
Tristesse,0.5241379310344828,-0.04927536231884061,0.2861169837914024,-0.21487603305785125
Admiration,,,,
Culpabilité,,,,
Embarras,,,,
Fierté,,,,
Jalousie,-0.27586206896551724,-0.09689440993788823,-0.38054968287526425,-0.21487603305785125
Autre,-0.27586206896551724,-0.3826086956521739,0.07559066800192871,0.05785123966942152
