,_profile_key,n,mean_error,median_error,std_error,active_labels,density
70,1|1|0|0|0|0|0|0|0|0|0|1|1|0|1|0,1,0.3333333333333333,0.3333333333333333,,"['Colère', 'Dégoût', 'Autre', 'Comportementale', 'Montrée']",5
32,0|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1,1,0.25,0.25,,"['Dégoût', 'Joie', 'Montrée', 'Suggérée']",4
54,1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0,1,0.25,0.25,,"['Colère', 'Surprise', 'Montrée']",3
59,1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1,1,0.25,0.25,,"['Colère', 'Joie', 'Montrée', 'Suggérée']",4
66,1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|1,1,0.25,0.25,,"['Colère', 'Dégoût', 'Comportementale', 'Suggérée']",4
33,0|1|1|0|0|0|0|0|0|0|0|1|0|0|1|0,1,0.25,0.25,,"['Dégoût', 'Joie', 'Autre', 'Montrée']",4
30,0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1,1,0.25,0.25,,"['Dégoût', 'Autre', 'Suggérée']",3
24,0|0|1|0|0|0|0|0|0|0|0|1|0|0|1|1,1,0.25,0.25,,"['Joie', 'Autre', 'Montrée', 'Suggérée']",4
71,1|1|0|0|0|0|0|0|0|0|0|1|1|0|1|1,1,0.25,0.25,,"['Colère', 'Dégoût', 'Autre', 'Comportementale', 'Montrée', 'Suggérée']",6
69,1|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0,6,0.2222222222222222,0.25,0.04303314829119353,"['Colère', 'Dégoût', 'Autre', 'Montrée']",4
61,1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1,2,0.20833333333333331,0.20833333333333331,0.05892556509887898,"['Colère', 'Dégoût', 'Suggérée']",3
28,0|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0,6,0.19444444444444442,0.16666666666666666,0.04303314829119352,"['Dégoût', 'Désignée', 'Montrée']",3
72,1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Dégoût', 'Joie', 'Montrée', 'Suggérée']",5
44,1|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0,2,0.16666666666666666,0.16666666666666666,0.0,"['Colère', 'Autre', 'Désignée', 'Montrée']",4
46,1|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Autre', 'Comportementale', 'Suggérée']",4
