,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,Autre
Colère,0.3931,0.0653,0.0141,0.0051,0.0038,0.0179,0.0,0.0,0.0051,0.0026,0.0038,0.0807
Dégoût,0.0653,0.1076,0.0038,0.0,0.0,0.0038,0.0,0.0,0.0051,0.0026,0.0,0.0243
Joie,0.0141,0.0038,0.0397,0.0,0.0,0.0,0.0013,0.0,0.0013,0.0,0.0,0.0077
Peur,0.0051,0.0,0.0,0.0077,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0013
Surprise,0.0038,0.0,0.0,0.0013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0038
Tristesse,0.0179,0.0038,0.0,0.0,0.0,0.0384,0.0,0.0013,0.0051,0.0,0.0,0.0051
Admiration,0.0,0.0,0.0013,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0
Culpabilité,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0038,0.0,0.0,0.0,0.0
Embarras,0.0051,0.0051,0.0013,0.0,0.0,0.0051,0.0,0.0,0.0256,0.0,0.0,0.0038
Fierté,0.0026,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0013
Jalousie,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0038
Autre,0.0807,0.0243,0.0077,0.0013,0.0038,0.0051,0.0,0.0,0.0038,0.0013,0.0038,0.1741
