,Comportementale,Désignée,Montrée,Suggérée
Colère,-0.040979331393337926,-0.020958137591656267,-0.04340204863452592,-0.03650944995147931
Dégoût,-0.005232057533672119,-0.032219410740537496,-0.048930899299159836,-0.020538499059625848
Joie,,-0.09323131550244228,-0.010522869420541703,0.005255151734024965
Peur,,-0.10166385518498196,0.024957989589729085,-0.034427387948514715
Surprise,,,,
Tristesse,0.0007203234187088126,-0.10265591867704543,-0.022661058029318587,-0.04236389588502268
Admiration,,,,
Culpabilité,,,,
Embarras,,,,
Fierté,,-0.020314648835775606,,
Jalousie,,-0.03420353772466447,,
Autre,-0.023457836005352256,-0.08748222624925465,-0.022513498005708982,-0.058707297474325876
