label,FP_rate,FN_rate,accuracy,prevalence,n_FP,n_FN
Colère,0.0499,0.3431,0.6069,0.4443,39,268
Dégoût,0.0,0.1076,0.8924,0.1076,0,84
Joie,0.0141,0.0256,0.9603,0.0346,11,20
Peur,0.0038,0.0038,0.9923,0.009,3,3
Surprise,0.0051,0.0038,0.991,0.0051,4,3
Tristesse,0.023,0.0154,0.9616,0.0179,18,12
Admiration,0.0,0.0013,0.9987,0.0013,0,1
Culpabilité,0.0,0.0038,0.9962,0.0038,0,3
Embarras,0.0256,0.0,0.9744,0.0013,20,0
Fierté,0.0026,0.0013,0.9962,0.0051,2,1
Jalousie,0.0,0.0077,0.9923,0.0077,0,6
Autre,0.1076,0.0666,0.8259,0.0781,84,52
