label,n_pos,n_neg,logit_separation,logit_mean_pos,logit_mean_neg,proba_mean_pos,proba_mean_neg,proba_std_pos,proba_std_neg,proba_overlap
Colère,347,434,2.3834,-6.2417,-8.6251,0.2275,0.09,0.3856,0.2575,0.8017
Dégoût,84,697,1.5438,-9.2629,-10.8067,0.0072,0.0019,0.0163,0.0064,0.9335
Joie,27,754,5.3115,-4.2598,-9.5713,0.2836,0.0173,0.4311,0.1179,0.6455
Peur,7,774,10.7579,1.2597,-9.4982,0.5731,0.007,0.4927,0.0606,0.4299
Surprise,4,777,4.3787,-4.9954,-9.3741,0.2501,0.0066,0.4249,0.0699,0.7539
Tristesse,14,767,4.8729,-4.7508,-9.6236,0.1497,0.0243,0.3396,0.1386,0.7378
Admiration,1,780,-0.9104,-11.8961,-10.9857,0.0,0.0009,0.0,0.0073,0.9885
Culpabilité,3,778,1.3511,-11.0665,-12.4176,0.0035,0.0009,0.0049,0.0045,0.9871
Embarras,1,780,13.1018,1.2234,-11.8784,0.7727,0.0258,0.0,0.1315,0.0013
Fierté,4,777,10.6397,-0.9377,-11.5774,0.6999,0.0038,0.4046,0.0433,0.25
Jalousie,6,775,1.5853,-12.2872,-13.8725,0.0001,0.0001,0.0002,0.0006,1.0
Autre,61,720,1.5293,-5.018,-6.5472,0.1674,0.1266,0.3291,0.2934,0.7819
Comportementale,82,699,2.432,-6.8634,-9.2954,0.1211,0.0162,0.2677,0.1082,0.7596
Désignée,54,727,5.59,-4.0255,-9.6155,0.2856,0.0358,0.4003,0.1697,0.5872
Montrée,314,467,2.1587,-6.286,-8.4447,0.2316,0.1007,0.392,0.2712,0.8076
Suggérée,65,716,1.4167,-6.3318,-7.7485,0.067,0.0221,0.186,0.0993,0.7789
Emo,438,343,3.9093,-1.7497,-5.659,0.4525,0.1818,0.4718,0.3669,0.69
Base,401,380,2.9122,-4.6163,-7.5285,0.2727,0.0856,0.4099,0.2537,0.7489
Complexe,15,766,5.4719,-4.5971,-10.069,0.2864,0.0297,0.4149,0.1527,0.6131
