mode,threshold,f1,precision,recall,violation_rate
Comportementale,0.05,0.2735,0.4571,0.1951,0.3828
Comportementale,0.06,0.2759,0.4706,0.1951,0.3828
Comportementale,0.07,0.2679,0.5,0.1829,0.3828
Comportementale,0.08,0.2679,0.5,0.1829,0.3828
Comportementale,0.09,0.2703,0.5172,0.1829,0.3828
Comportementale,0.1,0.2727,0.5357,0.1829,0.3828
Comportementale,0.11,0.2727,0.5357,0.1829,0.3828
Comportementale,0.12,0.2727,0.5357,0.1829,0.3828
Comportementale,0.13,0.2727,0.5357,0.1829,0.3828
Comportementale,0.14,0.2727,0.5357,0.1829,0.3828
Comportementale,0.15,0.2727,0.5357,0.1829,0.3828
Comportementale,0.16,0.2727,0.5357,0.1829,0.3828
Comportementale,0.17,0.2727,0.5357,0.1829,0.3828
Comportementale,0.18,0.2752,0.5556,0.1829,0.3828
Comportementale,0.19,0.2752,0.5556,0.1829,0.3828
Comportementale,0.2,0.2752,0.5556,0.1829,0.3828
Comportementale,0.21,0.2752,0.5556,0.1829,0.3828
Comportementale,0.22,0.2752,0.5556,0.1829,0.3828
Comportementale,0.23,0.2752,0.5556,0.1829,0.3828
Comportementale,0.24,0.2752,0.5556,0.1829,0.3828
Comportementale,0.25,0.2752,0.5556,0.1829,0.3828
Comportementale,0.26,0.2752,0.5556,0.1829,0.3828
Comportementale,0.27,0.2752,0.5556,0.1829,0.3828
Comportementale,0.28,0.2752,0.5556,0.1829,0.3828
Comportementale,0.29,0.2593,0.5385,0.1707,0.3828
Comportementale,0.3,0.2617,0.56,0.1707,0.3828
Comportementale,0.31,0.2617,0.56,0.1707,0.3828
Comportementale,0.32,0.2617,0.56,0.1707,0.3828
Comportementale,0.33,0.2476,0.5652,0.1585,0.3828
Comportementale,0.34,0.2476,0.5652,0.1585,0.3828
Comportementale,0.35,0.2476,0.5652,0.1585,0.3828
Comportementale,0.36,0.2308,0.5455,0.1463,0.3828
Comportementale,0.37,0.2136,0.5238,0.1341,0.3828
Comportementale,0.38,0.2136,0.5238,0.1341,0.3828
Comportementale,0.39,0.2136,0.5238,0.1341,0.3828
Comportementale,0.4,0.2136,0.5238,0.1341,0.3828
Comportementale,0.41,0.2136,0.5238,0.1341,0.3828
Comportementale,0.42,0.1961,0.5,0.122,0.3828
Comportementale,0.43,0.1961,0.5,0.122,0.3828
Comportementale,0.44,0.1961,0.5,0.122,0.3828
Comportementale,0.45,0.1782,0.4737,0.1098,0.3828
Comportementale,0.46,0.1782,0.4737,0.1098,0.3828
Comportementale,0.47,0.1782,0.4737,0.1098,0.3828
Comportementale,0.48,0.1782,0.4737,0.1098,0.3828
Comportementale,0.49,0.1782,0.4737,0.1098,0.3828
Comportementale,0.5,0.1782,0.4737,0.1098,0.3828
Comportementale,0.51,0.16,0.4444,0.0976,0.3828
Comportementale,0.52,0.16,0.4444,0.0976,0.3828
Comportementale,0.53,0.16,0.4444,0.0976,0.3828
Comportementale,0.54,0.1616,0.4706,0.0976,0.3828
Comportementale,0.55,0.1616,0.4706,0.0976,0.3828
Comportementale,0.56,0.1616,0.4706,0.0976,0.3828
Comportementale,0.57,0.1616,0.4706,0.0976,0.3828
Comportementale,0.58,0.1616,0.4706,0.0976,0.3828
Comportementale,0.59,0.1616,0.4706,0.0976,0.3828
Comportementale,0.6,0.1616,0.4706,0.0976,0.3828
Comportementale,0.61,0.1616,0.4706,0.0976,0.3828
Comportementale,0.62,0.1616,0.4706,0.0976,0.3828
Comportementale,0.63,0.1616,0.4706,0.0976,0.3828
Comportementale,0.64,0.1616,0.4706,0.0976,0.3828
Comportementale,0.65,0.1633,0.5,0.0976,0.3828
Comportementale,0.66,0.1458,0.5,0.0854,0.3841
Comportementale,0.67,0.1458,0.5,0.0854,0.3841
Comportementale,0.68,0.1458,0.5,0.0854,0.3841
Comportementale,0.69,0.1458,0.5,0.0854,0.3841
Comportementale,0.7,0.1458,0.5,0.0854,0.3841
Comportementale,0.71,0.1263,0.4615,0.0732,0.3841
Comportementale,0.72,0.1263,0.4615,0.0732,0.3841
Comportementale,0.73,0.1263,0.4615,0.0732,0.3841
Comportementale,0.74,0.1263,0.4615,0.0732,0.3841
Comportementale,0.75,0.1263,0.4615,0.0732,0.3841
Comportementale,0.76,0.1263,0.4615,0.0732,0.3841
Comportementale,0.77,0.1064,0.4167,0.061,0.3841
Comportementale,0.78,0.1064,0.4167,0.061,0.3841
Comportementale,0.79,0.1064,0.4167,0.061,0.3841
Comportementale,0.8,0.1064,0.4167,0.061,0.3841
Comportementale,0.81,0.086,0.3636,0.0488,0.3841
Comportementale,0.82,0.086,0.3636,0.0488,0.3841
Comportementale,0.83,0.086,0.3636,0.0488,0.3841
Comportementale,0.84,0.086,0.3636,0.0488,0.3841
Comportementale,0.85,0.086,0.3636,0.0488,0.3841
Comportementale,0.86,0.086,0.3636,0.0488,0.3841
Comportementale,0.87,0.086,0.3636,0.0488,0.3841
Comportementale,0.88,0.086,0.3636,0.0488,0.3841
Comportementale,0.89,0.086,0.3636,0.0488,0.3841
Comportementale,0.9,0.086,0.3636,0.0488,0.3841
Comportementale,0.91,0.086,0.3636,0.0488,0.3841
Comportementale,0.92,0.086,0.3636,0.0488,0.3841
Comportementale,0.93,0.086,0.3636,0.0488,0.3841
Comportementale,0.94,0.086,0.3636,0.0488,0.3841
Comportementale,0.95,0.0652,0.3,0.0366,0.3854
Désignée,0.05,0.3826,0.3607,0.4074,0.3764
Désignée,0.06,0.3826,0.3607,0.4074,0.3764
Désignée,0.07,0.3571,0.3448,0.3704,0.3777
Désignée,0.08,0.3571,0.3448,0.3704,0.3777
Désignée,0.09,0.367,0.3636,0.3704,0.379
Désignée,0.1,0.3738,0.3774,0.3704,0.379
Désignée,0.11,0.3738,0.3774,0.3704,0.379
Désignée,0.12,0.3738,0.3774,0.3704,0.379
Désignée,0.13,0.3738,0.3774,0.3704,0.379
Désignée,0.14,0.3585,0.3654,0.3519,0.3803
Désignée,0.15,0.3585,0.3654,0.3519,0.3803
Désignée,0.16,0.3585,0.3654,0.3519,0.3803
Désignée,0.17,0.3585,0.3654,0.3519,0.3803
Désignée,0.18,0.3619,0.3725,0.3519,0.3803
Désignée,0.19,0.3619,0.3725,0.3519,0.3803
Désignée,0.2,0.3462,0.36,0.3333,0.3803
Désignée,0.21,0.3462,0.36,0.3333,0.3803
Désignée,0.22,0.3495,0.3673,0.3333,0.3803
Désignée,0.23,0.3529,0.375,0.3333,0.3803
Désignée,0.24,0.3529,0.375,0.3333,0.3803
Désignée,0.25,0.3529,0.375,0.3333,0.3803
Désignée,0.26,0.3529,0.375,0.3333,0.3803
Désignée,0.27,0.3529,0.375,0.3333,0.3803
Désignée,0.28,0.3529,0.375,0.3333,0.3803
Désignée,0.29,0.3564,0.383,0.3333,0.3816
Désignée,0.3,0.3564,0.383,0.3333,0.3816
Désignée,0.31,0.3564,0.383,0.3333,0.3816
Désignée,0.32,0.3564,0.383,0.3333,0.3816
Désignée,0.33,0.3564,0.383,0.3333,0.3816
Désignée,0.34,0.3564,0.383,0.3333,0.3816
Désignée,0.35,0.3564,0.383,0.3333,0.3816
Désignée,0.36,0.36,0.3913,0.3333,0.3816
Désignée,0.37,0.36,0.3913,0.3333,0.3816
Désignée,0.38,0.36,0.3913,0.3333,0.3816
Désignée,0.39,0.36,0.3913,0.3333,0.3816
Désignée,0.4,0.36,0.3913,0.3333,0.3816
Désignée,0.41,0.36,0.3913,0.3333,0.3816
Désignée,0.42,0.36,0.3913,0.3333,0.3816
Désignée,0.43,0.36,0.3913,0.3333,0.3816
Désignée,0.44,0.36,0.3913,0.3333,0.3816
Désignée,0.45,0.3469,0.3864,0.3148,0.3816
Désignée,0.46,0.3505,0.3953,0.3148,0.3828
Désignée,0.47,0.3505,0.3953,0.3148,0.3828
Désignée,0.48,0.3333,0.381,0.2963,0.3828
Désignée,0.49,0.3368,0.3902,0.2963,0.3828
Désignée,0.5,0.3368,0.3902,0.2963,0.3828
Désignée,0.51,0.3368,0.3902,0.2963,0.3828
Désignée,0.52,0.3368,0.3902,0.2963,0.3828
Désignée,0.53,0.3441,0.4103,0.2963,0.3828
Désignée,0.54,0.3441,0.4103,0.2963,0.3828
Désignée,0.55,0.3261,0.3947,0.2778,0.3828
Désignée,0.56,0.3261,0.3947,0.2778,0.3828
Désignée,0.57,0.3111,0.3889,0.2593,0.3841
Désignée,0.58,0.3111,0.3889,0.2593,0.3841
Désignée,0.59,0.3111,0.3889,0.2593,0.3841
Désignée,0.6,0.3111,0.3889,0.2593,0.3841
Désignée,0.61,0.3111,0.3889,0.2593,0.3841
Désignée,0.62,0.3111,0.3889,0.2593,0.3841
Désignée,0.63,0.3111,0.3889,0.2593,0.3841
Désignée,0.64,0.3111,0.3889,0.2593,0.3841
Désignée,0.65,0.2921,0.3714,0.2407,0.3854
Désignée,0.66,0.2921,0.3714,0.2407,0.3854
Désignée,0.67,0.2921,0.3714,0.2407,0.3854
Désignée,0.68,0.2921,0.3714,0.2407,0.3854
Désignée,0.69,0.2921,0.3714,0.2407,0.3854
Désignée,0.7,0.2921,0.3714,0.2407,0.3854
Désignée,0.71,0.2955,0.3824,0.2407,0.3854
Désignée,0.72,0.2955,0.3824,0.2407,0.3854
Désignée,0.73,0.2759,0.3636,0.2222,0.3854
Désignée,0.74,0.2791,0.375,0.2222,0.3854
Désignée,0.75,0.2791,0.375,0.2222,0.3854
Désignée,0.76,0.2791,0.375,0.2222,0.3854
Désignée,0.77,0.2588,0.3548,0.2037,0.3867
Désignée,0.78,0.2381,0.3333,0.1852,0.388
Désignée,0.79,0.2381,0.3333,0.1852,0.388
Désignée,0.8,0.2381,0.3333,0.1852,0.388
Désignée,0.81,0.2381,0.3333,0.1852,0.388
Désignée,0.82,0.241,0.3448,0.1852,0.3892
Désignée,0.83,0.241,0.3448,0.1852,0.3892
Désignée,0.84,0.2439,0.3571,0.1852,0.3892
Désignée,0.85,0.2439,0.3571,0.1852,0.3892
Désignée,0.86,0.2439,0.3571,0.1852,0.3892
Désignée,0.87,0.2439,0.3571,0.1852,0.3892
Désignée,0.88,0.2439,0.3571,0.1852,0.3892
Désignée,0.89,0.2439,0.3571,0.1852,0.3892
Désignée,0.9,0.2439,0.3571,0.1852,0.3892
Désignée,0.91,0.2439,0.3571,0.1852,0.3892
Désignée,0.92,0.2439,0.3571,0.1852,0.3892
Désignée,0.93,0.2439,0.3571,0.1852,0.3892
Désignée,0.94,0.2469,0.3704,0.1852,0.3905
