emotion,mode,n_both,observed_error,expected_error,interaction_effect,err_e,err_m,global_err,type
Autre,Désignée,7,0.0952,0.1876,-0.0924,0.1465,0.1015,0.0604,synergy
Joie,Désignée,16,0.0885,0.1522,-0.0637,0.1111,0.1015,0.0604,synergy
Dégoût,Désignée,11,0.1288,0.1901,-0.0613,0.149,0.1015,0.0604,synergy
Tristesse,Désignée,6,0.1111,0.1661,-0.055,0.125,0.1015,0.0604,synergy
Tristesse,Montrée,5,0.1167,0.1713,-0.0546,0.125,0.1067,0.0604,synergy
Joie,Suggérée,5,0.1167,0.1665,-0.0498,0.1111,0.1157,0.0604,synergy
Dégoût,Montrée,69,0.1486,0.1952,-0.0467,0.149,0.1067,0.0604,synergy
Colère,Montrée,249,0.1027,0.1469,-0.0442,0.1006,0.1067,0.0604,synergy
Colère,Suggérée,40,0.1125,0.156,-0.0435,0.1006,0.1157,0.0604,synergy
Colère,Comportementale,31,0.0941,0.1351,-0.0411,0.1006,0.0949,0.0604,synergy
Jalousie,Désignée,6,0.1667,0.2078,-0.0411,0.1667,0.1015,0.0604,synergy
Autre,Montrée,47,0.156,0.1928,-0.0368,0.1465,0.1067,0.0604,synergy
Tristesse,Suggérée,8,0.1458,0.1803,-0.0345,0.125,0.1157,0.0604,synergy
Autre,Suggérée,10,0.175,0.2019,-0.0269,0.1465,0.1157,0.0604,synergy
Autre,Comportementale,7,0.1548,0.181,-0.0263,0.1465,0.0949,0.0604,synergy
Dégoût,Comportementale,7,0.1667,0.1835,-0.0168,0.149,0.0949,0.0604,synergy
Dégoût,Suggérée,10,0.1917,0.2043,-0.0126,0.149,0.1157,0.0604,synergy
Colère,Désignée,7,0.131,0.1418,-0.0108,0.1006,0.1015,0.0604,synergy
Joie,Montrée,14,0.1607,0.1574,0.0033,0.1111,0.1067,0.0604,conflict
