,Comportementale,Désignée,Montrée,Suggérée
Colère,-0.041063098313439864,-0.010804482974179297,-0.04416406850243956,-0.04348245315214953
Dégoût,-0.0168064150898658,-0.061292947076397736,-0.04668161637811058,-0.012639748423199149
Joie,,-0.06369193697538764,0.0033291669207162478,-0.04979252620097692
Peur,,,,
Surprise,,,,
Tristesse,,-0.0550113814198321,-0.05460734101579175,-0.03451474842319918
Admiration,,,,
Culpabilité,,,,
Embarras,,,,
Fierté,,,,
Jalousie,,-0.04112249253094319,,
Autre,-0.026258220005380417,-0.09238977363693399,-0.03675101523221816,-0.026853458100618538
