label,FP_rate,FN_rate,accuracy,prevalence,n_FP,n_FN
Colère,0.0755,0.2702,0.6543,0.37,59,211
Dégoût,0.0,0.1024,0.8976,0.1024,0,80
Joie,0.009,0.0269,0.9641,0.0384,7,21
Peur,0.0038,0.0026,0.9936,0.0051,3,2
Surprise,0.0026,0.0038,0.9936,0.0064,2,3
Tristesse,0.0192,0.0154,0.9654,0.0179,15,12
Admiration,0.0,0.0,1.0,0.0,0,0
Culpabilité,0.0,0.0038,0.9962,0.0038,0,3
Embarras,0.0,0.0026,0.9974,0.0026,0,2
Fierté,0.0013,0.0,0.9987,0.0038,1,0
Jalousie,0.0,0.0077,0.9923,0.0077,0,6
Autre,0.1088,0.0691,0.822,0.0794,85,54
