label,n_pos,n_neg,logit_separation,logit_mean_pos,logit_mean_neg,proba_mean_pos,proba_mean_neg,proba_std_pos,proba_std_neg,proba_overlap
Colère,289,492,2.3597,-6.0796,-8.4393,0.2357,0.1014,0.3923,0.2715,0.8094
Dégoût,80,701,1.7176,-9.099,-10.8166,0.0077,0.0018,0.0167,0.0064,0.9285
Joie,30,751,6.8075,-2.8416,-9.6492,0.3496,0.0136,0.4564,0.1022,0.58
Peur,4,777,10.1811,0.7271,-9.454,0.5031,0.0096,0.4968,0.0787,0.5039
Surprise,5,776,6.3364,-3.0559,-9.3922,0.3983,0.0054,0.4819,0.0604,0.6026
Tristesse,14,767,4.7862,-4.8359,-9.6221,0.1492,0.0243,0.3398,0.1386,0.7378
Admiration,0,781,,,,,,,,
Culpabilité,3,778,1.3511,-11.0665,-12.4176,0.0035,0.0009,0.0049,0.0045,0.9871
Embarras,2,779,13.8895,1.9923,-11.8972,0.8566,0.0246,0.0839,0.1274,0.0013
Fierté,3,778,14.2742,2.6965,-11.5777,0.9332,0.0038,0.0227,0.0433,0.0
Jalousie,6,775,1.5853,-12.2872,-13.8725,0.0001,0.0001,0.0002,0.0006,1.0
Autre,62,719,1.0126,-5.4956,-6.5082,0.1543,0.1277,0.3122,0.2951,0.8335
Comportementale,36,745,4.7393,-4.5192,-9.2585,0.233,0.0172,0.3495,0.1091,0.5627
Désignée,55,726,5.8392,-3.801,-9.6402,0.3117,0.0335,0.409,0.1642,0.5645
Montrée,300,481,2.0091,-6.3394,-8.3485,0.2279,0.1068,0.39,0.2791,0.8194
Suggérée,54,727,1.8927,-5.8688,-7.7615,0.0921,0.0209,0.2255,0.094,0.7561
Emo,398,383,4.2033,-1.4053,-5.6086,0.4758,0.1859,0.4739,0.3683,0.6641
Base,363,418,3.1577,-4.3432,-7.5009,0.2933,0.0847,0.4206,0.2494,0.7286
Complexe,14,767,6.965,-3.1238,-10.0888,0.3771,0.0284,0.4462,0.1487,0.5117
