mode,threshold,f1,precision,recall,violation_rate
Comportementale,0.05,0.3662,0.3714,0.3611,0.338
Comportementale,0.06,0.3714,0.3824,0.3611,0.338
Comportementale,0.07,0.3636,0.4,0.3333,0.338
Comportementale,0.08,0.3636,0.4,0.3333,0.338
Comportementale,0.09,0.3692,0.4138,0.3333,0.338
Comportementale,0.1,0.375,0.4286,0.3333,0.338
Comportementale,0.11,0.375,0.4286,0.3333,0.338
Comportementale,0.12,0.375,0.4286,0.3333,0.338
Comportementale,0.13,0.375,0.4286,0.3333,0.338
Comportementale,0.14,0.375,0.4286,0.3333,0.338
Comportementale,0.15,0.375,0.4286,0.3333,0.338
Comportementale,0.16,0.375,0.4286,0.3333,0.338
Comportementale,0.17,0.375,0.4286,0.3333,0.338
Comportementale,0.18,0.381,0.4444,0.3333,0.338
Comportementale,0.19,0.381,0.4444,0.3333,0.338
Comportementale,0.2,0.381,0.4444,0.3333,0.338
Comportementale,0.21,0.381,0.4444,0.3333,0.338
Comportementale,0.22,0.381,0.4444,0.3333,0.338
Comportementale,0.23,0.381,0.4444,0.3333,0.338
Comportementale,0.24,0.381,0.4444,0.3333,0.338
Comportementale,0.25,0.381,0.4444,0.3333,0.338
Comportementale,0.26,0.381,0.4444,0.3333,0.338
Comportementale,0.27,0.381,0.4444,0.3333,0.338
Comportementale,0.28,0.381,0.4444,0.3333,0.338
Comportementale,0.29,0.3548,0.4231,0.3056,0.338
Comportementale,0.3,0.3607,0.44,0.3056,0.338
Comportementale,0.31,0.3607,0.44,0.3056,0.338
Comportementale,0.32,0.3607,0.44,0.3056,0.338
Comportementale,0.33,0.3729,0.4783,0.3056,0.338
Comportementale,0.34,0.3729,0.4783,0.3056,0.338
Comportementale,0.35,0.3729,0.4783,0.3056,0.338
Comportementale,0.36,0.3448,0.4545,0.2778,0.338
Comportementale,0.37,0.3509,0.4762,0.2778,0.338
Comportementale,0.38,0.3509,0.4762,0.2778,0.338
Comportementale,0.39,0.3509,0.4762,0.2778,0.338
Comportementale,0.4,0.3509,0.4762,0.2778,0.338
Comportementale,0.41,0.3509,0.4762,0.2778,0.338
Comportementale,0.42,0.3214,0.45,0.25,0.338
Comportementale,0.43,0.3214,0.45,0.25,0.338
Comportementale,0.44,0.3214,0.45,0.25,0.338
Comportementale,0.45,0.2909,0.4211,0.2222,0.338
Comportementale,0.46,0.2909,0.4211,0.2222,0.338
Comportementale,0.47,0.2909,0.4211,0.2222,0.338
Comportementale,0.48,0.2909,0.4211,0.2222,0.338
Comportementale,0.49,0.2909,0.4211,0.2222,0.338
Comportementale,0.5,0.2909,0.4211,0.2222,0.338
Comportementale,0.51,0.2593,0.3889,0.1944,0.338
Comportementale,0.52,0.2593,0.3889,0.1944,0.338
Comportementale,0.53,0.2593,0.3889,0.1944,0.338
Comportementale,0.54,0.2642,0.4118,0.1944,0.338
Comportementale,0.55,0.2642,0.4118,0.1944,0.338
Comportementale,0.56,0.2642,0.4118,0.1944,0.338
Comportementale,0.57,0.2642,0.4118,0.1944,0.338
Comportementale,0.58,0.2642,0.4118,0.1944,0.338
Comportementale,0.59,0.2642,0.4118,0.1944,0.338
Comportementale,0.6,0.2642,0.4118,0.1944,0.338
Comportementale,0.61,0.2642,0.4118,0.1944,0.338
Comportementale,0.62,0.2642,0.4118,0.1944,0.338
Comportementale,0.63,0.2642,0.4118,0.1944,0.338
Comportementale,0.64,0.2642,0.4118,0.1944,0.338
Comportementale,0.65,0.2692,0.4375,0.1944,0.338
Comportementale,0.66,0.24,0.4286,0.1667,0.3393
Comportementale,0.67,0.24,0.4286,0.1667,0.3393
Comportementale,0.68,0.24,0.4286,0.1667,0.3393
Comportementale,0.69,0.24,0.4286,0.1667,0.3393
Comportementale,0.7,0.24,0.4286,0.1667,0.3393
Comportementale,0.71,0.2449,0.4615,0.1667,0.3393
Comportementale,0.72,0.2449,0.4615,0.1667,0.3393
Comportementale,0.73,0.2449,0.4615,0.1667,0.3393
Comportementale,0.74,0.2449,0.4615,0.1667,0.3393
Comportementale,0.75,0.2449,0.4615,0.1667,0.3393
Comportementale,0.76,0.2449,0.4615,0.1667,0.3393
Comportementale,0.77,0.2083,0.4167,0.1389,0.3393
Comportementale,0.78,0.2083,0.4167,0.1389,0.3393
Comportementale,0.79,0.2083,0.4167,0.1389,0.3393
Comportementale,0.8,0.2083,0.4167,0.1389,0.3393
Comportementale,0.81,0.1702,0.3636,0.1111,0.3393
Comportementale,0.82,0.1702,0.3636,0.1111,0.3393
Comportementale,0.83,0.1702,0.3636,0.1111,0.3393
Comportementale,0.84,0.1702,0.3636,0.1111,0.3393
Comportementale,0.85,0.1702,0.3636,0.1111,0.3393
Comportementale,0.86,0.1702,0.3636,0.1111,0.3393
Comportementale,0.87,0.1702,0.3636,0.1111,0.3393
Comportementale,0.88,0.1702,0.3636,0.1111,0.3393
Comportementale,0.89,0.1702,0.3636,0.1111,0.3393
Comportementale,0.9,0.1702,0.3636,0.1111,0.3393
Comportementale,0.91,0.1702,0.3636,0.1111,0.3393
Comportementale,0.92,0.1702,0.3636,0.1111,0.3393
Comportementale,0.93,0.1702,0.3636,0.1111,0.3393
Comportementale,0.94,0.1702,0.3636,0.1111,0.3393
Comportementale,0.95,0.1304,0.3,0.0833,0.3406
Désignée,0.05,0.4138,0.3934,0.4364,0.3316
Désignée,0.06,0.4138,0.3934,0.4364,0.3316
Désignée,0.07,0.4071,0.3966,0.4182,0.3329
Désignée,0.08,0.4071,0.3966,0.4182,0.3329
Désignée,0.09,0.4,0.4,0.4,0.3342
Désignée,0.1,0.4074,0.4151,0.4,0.3342
Désignée,0.11,0.4074,0.4151,0.4,0.3342
Désignée,0.12,0.4074,0.4151,0.4,0.3342
Désignée,0.13,0.4074,0.4151,0.4,0.3342
Désignée,0.14,0.3925,0.4038,0.3818,0.3355
Désignée,0.15,0.3925,0.4038,0.3818,0.3355
Désignée,0.16,0.3925,0.4038,0.3818,0.3355
Désignée,0.17,0.3925,0.4038,0.3818,0.3355
Désignée,0.18,0.3962,0.4118,0.3818,0.3355
Désignée,0.19,0.3962,0.4118,0.3818,0.3355
Désignée,0.2,0.381,0.4,0.3636,0.3355
Désignée,0.21,0.381,0.4,0.3636,0.3355
Désignée,0.22,0.3846,0.4082,0.3636,0.3355
Désignée,0.23,0.3883,0.4167,0.3636,0.3355
Désignée,0.24,0.3883,0.4167,0.3636,0.3355
Désignée,0.25,0.3883,0.4167,0.3636,0.3355
Désignée,0.26,0.3883,0.4167,0.3636,0.3355
Désignée,0.27,0.3883,0.4167,0.3636,0.3355
Désignée,0.28,0.3883,0.4167,0.3636,0.3355
Désignée,0.29,0.3922,0.4255,0.3636,0.3367
Désignée,0.3,0.3922,0.4255,0.3636,0.3367
Désignée,0.31,0.3922,0.4255,0.3636,0.3367
Désignée,0.32,0.3922,0.4255,0.3636,0.3367
Désignée,0.33,0.3922,0.4255,0.3636,0.3367
Désignée,0.34,0.3922,0.4255,0.3636,0.3367
Désignée,0.35,0.3922,0.4255,0.3636,0.3367
Désignée,0.36,0.396,0.4348,0.3636,0.3367
Désignée,0.37,0.396,0.4348,0.3636,0.3367
Désignée,0.38,0.396,0.4348,0.3636,0.3367
Désignée,0.39,0.396,0.4348,0.3636,0.3367
Désignée,0.4,0.396,0.4348,0.3636,0.3367
Désignée,0.41,0.396,0.4348,0.3636,0.3367
Désignée,0.42,0.396,0.4348,0.3636,0.3367
Désignée,0.43,0.396,0.4348,0.3636,0.3367
Désignée,0.44,0.396,0.4348,0.3636,0.3367
Désignée,0.45,0.3838,0.4318,0.3455,0.3367
Désignée,0.46,0.3878,0.4419,0.3455,0.338
Désignée,0.47,0.3878,0.4419,0.3455,0.338
Désignée,0.48,0.3711,0.4286,0.3273,0.338
Désignée,0.49,0.375,0.439,0.3273,0.338
Désignée,0.5,0.375,0.439,0.3273,0.338
Désignée,0.51,0.375,0.439,0.3273,0.338
Désignée,0.52,0.375,0.439,0.3273,0.338
Désignée,0.53,0.383,0.4615,0.3273,0.338
Désignée,0.54,0.383,0.4615,0.3273,0.338
Désignée,0.55,0.3656,0.4474,0.3091,0.338
Désignée,0.56,0.3656,0.4474,0.3091,0.338
Désignée,0.57,0.3516,0.4444,0.2909,0.3393
Désignée,0.58,0.3516,0.4444,0.2909,0.3393
